parameter,value,num_trials,auc,accuracy,rmse,log_loss,auc_std,accuracy_std,rmse_std,log_loss_std
p_slip,0.0,3,0.7639442064688694,0.7177809871718631,0.4383251477380592,0.6932141822209282,0.0,1.1102230246251565e-16,0.0,0.0
p_slip,0.05,3,0.7906117833044232,0.7305241695692805,0.4281733440082349,0.5481039195545307,0.0,0.0,0.0,0.0
p_slip,0.1,3,0.7893353472380505,0.7282303967377453,0.4278819751254351,0.5436546114981504,0.0,0.0,5.551115123125783e-17,0.0
p_slip,0.15000000000000002,3,0.7858122029689699,0.7272109421459519,0.4294578781667994,0.5482659239524453,1.1102230246251565e-16,0.0,0.0,0.0
p_slip,0.2,3,0.7814283367736646,0.7232180783280945,0.4329195939583601,0.5576398614214837,0.0,0.0,0.0,0.0
p_slip,0.25,3,0.7763440388456037,0.7218588055390366,0.4383732164614456,0.5705453832973502,1.1102230246251565e-16,0.0,0.0,0.0
p_slip,0.30000000000000004,3,0.773152175838684,0.7032537592388074,0.445839075859965,0.5865759951542491,0.0,1.1102230246251565e-16,0.0,0.0
p_slip,0.35000000000000003,3,0.7691155679067436,0.7041882592812844,0.45533976584597974,0.6057338408935419,0.0,1.1102230246251565e-16,5.551115123125783e-17,0.0
p_slip,0.4,3,0.7639967447937567,0.7036785319853878,0.4668944310454786,0.6282776392225279,1.1102230246251565e-16,0.0,5.551115123125783e-17,0.0
