p_init,p_learn,auc,accuracy,rmse,log_loss
0.0,0.05,0.7677622638866746,0.7072466230566646,0.44088967468825147,0.5685928728040721
0.0,0.1,0.7674876526762235,0.7063970775635036,0.43298846538794533,0.5530143107205776
0.0,0.15000000000000002,0.7667822569263495,0.7210092600458755,0.433088319639969,0.5538458523880242
0.0,0.2,0.765983555489448,0.7185455781157081,0.43685779486914206,0.5622282587207389
0.0,0.25,0.7652459530776133,0.7074165321552969,0.44283075516045867,0.5753604668915041
0.0,0.3,0.7650933021200692,0.705292668422394,0.45033642404750585,0.5920274613188146
0.0,0.35000000000000003,0.7647039240228347,0.6929742587715573,0.4590036439437626,0.6116146992146544
0.0,0.4,0.7640137770201558,0.610738255033557,0.46859143555575977,0.6337957121732393
0.1142857142857143,0.05,0.7906694937190024,0.717780987171863,0.42960097530612296,0.545781387045739
0.1142857142857143,0.1,0.7846962503063125,0.7299294877240676,0.42595028219612313,0.539034511329145
0.1142857142857143,0.15000000000000002,0.7820937974516935,0.7281454421884291,0.4282588606690341,0.5442586956458705
0.1142857142857143,0.2,0.7812939664779627,0.7257667148075779,0.4334325544085534,0.5553870162535246
0.1142857142857143,0.25,0.780165871294391,0.7147226233964828,0.4403880059905362,0.5704271187128374
0.1142857142857143,0.3,0.779369176271594,0.7114943505224705,0.44862135675025105,0.5885033486260464
0.1142857142857143,0.35000000000000003,0.7775235130925803,0.6970520771387307,0.45784477651026256,0.6091728073908069
0.1142857142857143,0.4,0.7763623640944259,0.6177894826267947,0.4678621729561305,0.6322057224966728
0.2285714285714286,0.05,0.7905090400399404,0.7255968057089457,0.42782898572809486,0.5424744011028962
0.2285714285714286,0.1,0.7904240721181919,0.7300993968226999,0.42513657635462543,0.5376256463663839
0.2285714285714286,0.15000000000000002,0.7893909917892185,0.7282303967377453,0.4280007590046681,0.5439215652891137
0.2285714285714286,0.2,0.7832538466376721,0.7249171693144167,0.43355457867192737,0.5557953402146577
0.2285714285714286,0.25,0.7806308094605725,0.7126837142128961,0.4407857584961506,0.5714004321227217
0.2285714285714286,0.3,0.7802931373979299,0.7084359867470903,0.4492227885756393,0.5899234413000911
0.2285714285714286,0.35000000000000003,0.779412990410708,0.6966273043921501,0.45859476224599843,0.6109539350897454
0.2285714285714286,0.4,0.7783355014495523,0.6177894826267947,0.46871501288485895,0.6342806854893006
0.34285714285714286,0.05,0.7870113400741714,0.7255968057089457,0.42809307606111635,0.543029835915238
0.34285714285714286,0.1,0.790446870927351,0.7296746240761193,0.4260842624994309,0.53952850330778
0.34285714285714286,0.15000000000000002,0.7900218381083611,0.7282303967377453,0.4293038611800701,0.5465502495679743
0.34285714285714286,0.2,0.7889119938619779,0.7250021238637329,0.4350705304397946,0.5589057857585028
0.34285714285714286,0.25,0.7876891216210353,0.7092855322402515,0.4424339869408657,0.5748618027752871
0.34285714285714286,0.3,0.7820659603137831,0.7083510321977742,0.450950959101864,0.5936523327958316
0.34285714285714286,0.35000000000000003,0.7799509471879704,0.6933990315181378,0.46036445356317157,0.6148909787320432
0.34285714285714286,0.4,0.77907295523812,0.600458754566307,0.47049484992931495,0.6383796424574629
0.4571428571428572,0.05,0.7846910484919674,0.7149774870444312,0.42960873632734464,0.5459441917231241
0.4571428571428572,0.1,0.7875112047080997,0.7137881233540057,0.4281990408398338,0.543620542939117
0.4571428571428572,0.15000000000000002,0.790075491107751,0.7085209412964064,0.431713570877834,0.5512768584817391
0.4571428571428572,0.2,0.7895598872698465,0.7054625775210263,0.4376383659245815,0.5640436557625989
0.4571428571428572,0.25,0.7882944493252324,0.6936538951660861,0.4450830060581176,0.5802891490135773
0.4571428571428572,0.3,0.7875400970712061,0.6922096678277122,0.45363195585684873,0.5992912376715276
0.4571428571428572,0.35000000000000003,0.7860386899655634,0.6771727125987597,0.463041782700438,0.6206863633112912
0.4571428571428572,0.4,0.7809569929446751,0.5848271174921417,0.4731397485643769,0.6442888818193618
0.5714285714285715,0.05,0.7841318385875224,0.7120040778183672,0.4322537404284405,0.551128223447342
0.5714285714285715,0.1,0.7863656165660011,0.7095403958881998,0.431423510508538,0.5499414246322326
0.5714285714285715,0.15000000000000002,0.7884116239089417,0.7079262594511936,0.43521665738408283,0.5582223316485225
0.5714285714285715,0.2,0.7896371119193839,0.7054625775210263,0.4412797647727732,0.5713928548621985
0.5714285714285715,0.25,0.7888975476804249,0.6937388497154022,0.44878202421836816,0.5879174439553105
0.5714285714285715,0.3,0.7881740347543027,0.6888114858550676,0.45733640639986445,0.6071172900519146
0.5714285714285715,0.35000000000000003,0.7871337164722259,0.6594172117916914,0.4667138315703316,0.6286523794998964
0.5714285714285715,0.4,0.7858529108818032,0.5848271174921417,0.47674876261980104,0.6523497056704294
0.6857142857142857,0.05,0.78128262652269,0.7108996686772576,0.4362100319483757,0.5593058817603741
0.6857142857142857,0.1,0.7844670732285861,0.7095403958881998,0.435981600800734,0.5593115298795269
0.6857142857142857,0.15000000000000002,0.786210394425938,0.7076713958032452,0.4400577544625695,0.5682604378811313
