parameter,value,num_trials,auc,accuracy,rmse,log_loss,auc_std,accuracy_std,rmse_std,log_loss_std
p_learn,0.01,3,0.7840907293918681,0.7068218503100842,0.4457418904600516,0.5787923949161236,0.0,0.0,5.551115123125783e-17,0.0
p_learn,0.045,3,0.7906192144677736,0.7253419420609973,0.4289283341250469,0.5445939990503577,0.0,0.0,0.0,0.0
p_learn,0.07999999999999999,3,0.7904734596298186,0.7242375329198879,0.4252925292835706,0.537681730082281,0.0,0.0,0.0,0.0
p_learn,0.11499999999999998,3,0.7898051007980832,0.7293348058788548,0.4255605804678717,0.5386055073453562,0.0,0.0,0.0,0.0
p_learn,0.15,3,0.7893353472380505,0.7282303967377453,0.4278819751254351,0.5436546114981504,0.0,0.0,5.551115123125783e-17,0.0
p_learn,0.185,3,0.7818648878958476,0.7275507603432164,0.43151027887285637,0.5514121646700352,0.0,0.0,5.551115123125783e-17,0.0
p_learn,0.21999999999999997,3,0.7811686770638748,0.7244923965678364,0.4360674453533812,0.5611869786252581,0.0,1.1102230246251565e-16,0.0,0.0
p_learn,0.25499999999999995,3,0.7805663961366512,0.7128536233115282,0.4413379378018824,0.5725970013799042,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0
p_learn,0.29,3,0.7803316605487384,0.7087758049443548,0.44718668285894275,0.5854145795892186,1.1102230246251565e-16,0.0,5.551115123125783e-17,0.0
p_learn,0.32499999999999996,3,0.7797387726119899,0.7035935774360716,0.45351993328442836,0.599496215810644,1.1102230246251565e-16,0.0,0.0,0.0
p_learn,0.36,3,0.7790988899982129,0.6900858040948092,0.46026544080374904,0.6147492750555037,1.1102230246251565e-16,0.0,0.0,0.0
p_learn,0.39499999999999996,3,0.7781821668249801,0.6177894826267947,0.46736621500786213,0.6311190953847092,0.0,0.0,0.0,0.0
p_learn,0.42999999999999994,3,0.7771993657472355,0.600458754566307,0.4747673080681527,0.6485822646845456,0.0,0.0,0.0,0.0
p_learn,0.46499999999999997,3,0.7754320864792422,0.600458754566307,0.4824044038881092,0.6671257920374453,1.1102230246251565e-16,0.0,5.551115123125783e-17,1.1102230246251565e-16
p_learn,0.5,3,0.7737821601428779,0.600458754566307,0.4902139170457971,0.6867231046382861,0.0,0.0,0.0,0.0
