sample_size,trial,model,test_auc,test_accuracy,test_rmse
50,0,Standard BKT,0.7670782463928968,0.725130890052356,0.43992732675149204
50,0,BKT with Forgetting,0.7813956714761378,0.725130890052356,0.4414985047929931
50,0,Individualized BKT,0.7658018867924529,0.7303664921465969,0.43491089654063214
50,0,Improved BKT (Time),0.7654966703662597,0.7329842931937173,0.4404242786447478
50,0,Logistic Model (PFA),0.7073945615982242,0.6910994764397905,0.4726782514004864
50,1,Standard BKT,0.640810953133228,0.578005115089514,0.4900955910317867
50,1,BKT with Forgetting,0.6373091100579252,0.578005115089514,0.48471731455782113
50,1,Individualized BKT,0.6409426013691416,0.5805626598465473,0.4931528131123894
50,1,Improved BKT (Time),0.6358478146392839,0.6086956521739131,0.4843624852304845
50,1,Logistic Model (PFA),0.650144813059505,0.6086956521739131,0.4807521326788927
100,0,Standard BKT,0.6937729074492379,0.655860349127182,0.47472420364643436
100,0,BKT with Forgetting,0.7301759167646746,0.685785536159601,0.46059385077298176
100,0,Individualized BKT,0.7056303321074542,0.6633416458852868,0.46945895028825163
100,0,Improved BKT (Time),0.708747923161648,0.6658354114713217,0.4680311300394742
100,0,Logistic Model (PFA),0.6578459374863876,0.6209476309226932,0.4818513778668641
100,1,Standard BKT,0.717066468382258,0.6912325285895807,0.4612231135737111
100,1,BKT with Forgetting,0.7407830078882711,0.7052096569250318,0.45434725748799776
100,1,Individualized BKT,0.7327460235354972,0.7026683608640406,0.45414331834038046
100,1,Improved BKT (Time),0.7421343592396223,0.7052096569250318,0.45625751195850106
100,1,Logistic Model (PFA),0.6853420406051984,0.6658195679796697,0.4774175239033005
200,0,Standard BKT,0.7255235109236078,0.6794554455445545,0.45955523749636973
200,0,BKT with Forgetting,0.7475858942142918,0.6967821782178217,0.4526157748326649
200,0,Individualized BKT,0.7469611391597697,0.7029702970297029,0.44992466620099947
200,0,Improved BKT (Time),0.740625216128363,0.6998762376237624,0.4517075056401494
200,0,Logistic Model (PFA),0.7016713926735368,0.6646039603960396,0.47072863125728986
200,1,Standard BKT,0.6996557345846057,0.6728553137003841,0.46464574065141445
200,1,BKT with Forgetting,0.7379668479025463,0.6888604353393086,0.45418305576928103
200,1,Individualized BKT,0.7338786960947392,0.6946222791293214,0.4532741975823791
200,1,Improved BKT (Time),0.726575469434031,0.6856594110115237,0.4562788634093632
200,1,Logistic Model (PFA),0.6845775714392115,0.6562099871959027,0.4753888247009075
