model,train_students,test_students,training_time_seconds,training_success,inference_time_seconds,test_accuracy,test_auc,test_rmse,test_log_loss,test_ece,test_f1,train_accuracy,train_auc,train_rmse,accuracy_gap,auc_gap
Standard BKT,240,60,4.059462070465088,True,0.13869476318359375,0.6891724989707698,0.7336380433395511,0.45573296941572744,0.6049356738763183,,,0.6633262260127932,0.7043257744394201,0.4666454685825607,-0.02584627295797659,-0.029312268900130944
BKT with Forgetting,240,60,5.351307153701782,True,0.14160466194152832,0.6961712638946068,0.7498591505317661,0.4516874759438507,0.5972915084940001,,,0.6821961620469084,0.7324114497138828,0.45691329656014446,-0.013975101847698457,-0.01744770081788327
Individualized BKT,240,60,4.689147472381592,True,0.14037418365478516,0.6908192671881432,0.7360769452160053,0.4543722113195359,0.6020990248475652,,,0.6929637526652452,0.7456308718489232,0.4526741734542211,0.0021444854771019983,0.009553926632917875
