model,train_students,test_students,training_time_seconds,training_success,inference_time_seconds,test_accuracy,test_auc,test_rmse,test_log_loss,test_ece,test_f1,train_accuracy,train_auc,train_rmse,accuracy_gap,auc_gap
Standard BKT,400,100,7.778244972229004,True,0.22286581993103027,0.6768353174603174,0.7246857065444962,0.45957081041904496,0.6122972129781151,,,0.6689016602809706,0.7112772313862479,0.46425109860220876,-0.007933657179346798,-0.013408475158248279
BKT with Forgetting,400,100,8.925619125366211,True,0.22691607475280762,0.6875,0.7453312889480036,0.4527520337897023,0.5991152951052258,,,0.6851213282247764,0.7337953546338881,0.4563432471660159,-0.002378671775223551,-0.011535934314115481
