sample_size,trial,model,test_auc,test_accuracy,test_rmse
50,0,Standard BKT,0.5677437803831856,0.6766917293233082,0.4660946956914523
50,0,BKT with Forgetting,0.5724049185015728,0.6741854636591479,0.46526866901813174
50,0,Individualized BKT,0.6905776379754074,0.681704260651629,0.4512940033216327
50,0,Improved BKT (Time),0.6213611667143265,0.6867167919799498,0.458098256059538
50,0,Logistic Model (PFA),0.6269516728624535,0.6766917293233082,0.45925133377786254
50,0,Deep Knowledge Tracing,0.5067772376322561,0.6741854636591479,0.4703209695246903
50,1,Standard BKT,0.46977620332883485,0.629156010230179,0.4910894969413324
50,1,BKT with Forgetting,0.4772829509671615,0.629156010230179,0.4890660999676283
50,1,Individualized BKT,0.5987826135852451,0.639386189258312,0.47620001391757266
50,1,Improved BKT (Time),0.5946075123706702,0.639386189258312,0.4755678035287217
50,1,Logistic Model (PFA),0.589012595591543,0.6368286445012787,0.48062851832337083
50,1,Deep Knowledge Tracing,0.48256860098965365,0.6317135549872123,0.48988269047455374
100,0,Standard BKT,0.5057516766020864,0.6878238341968912,0.4685053214595598
100,0,BKT with Forgetting,0.510750434674615,0.689119170984456,0.4674655371123345
100,0,Individualized BKT,0.6322924428713363,0.689119170984456,0.4535942534999087
100,0,Improved BKT (Time),0.6165742983109785,0.689119170984456,0.4561056036529268
100,0,Logistic Model (PFA),0.5976775956284153,0.6800518134715026,0.4611391311531378
100,0,Deep Knowledge Tracing,0.5182640958768007,0.6826424870466321,0.4683013169940804
100,1,Standard BKT,0.5250455307059081,0.6526181353767561,0.47515078010397893
100,1,BKT with Forgetting,0.5323668682159248,0.6577266922094508,0.47410156833546985
100,1,Individualized BKT,0.6325052815618853,0.6538952745849298,0.4648870410451694
100,1,Improved BKT (Time),0.5608800174837911,0.644955300127714,0.47516305475845877
100,1,Logistic Model (PFA),0.555132221169957,0.6551724137931034,0.475396319789283
100,1,Deep Knowledge Tracing,0.5407226633641729,0.6602809706257982,0.4732142898565261
200,0,Standard BKT,0.4863200670602814,0.6489088575096277,0.4804694137614376
200,0,BKT with Forgetting,0.4939080836795685,0.6527599486521181,0.47900003747800274
200,0,Individualized BKT,0.6231093738610686,0.6598202824133504,0.4671715736239838
200,0,Improved BKT (Time),0.6104080107879583,0.6630295250320924,0.46614628491849497
200,0,Logistic Model (PFA),0.5978451417741818,0.6643132220795892,0.46883781404818997
200,0,Deep Knowledge Tracing,0.5557803046869305,0.6546854942233633,0.4739825175916653
200,1,Standard BKT,0.5223959416713888,0.6536241180243746,0.47935886662626054
200,1,BKT with Forgetting,0.5307987906783247,0.6504169339320077,0.47852610420710173
200,1,Individualized BKT,0.6775653256059161,0.6600384862091084,0.46258241339966705
200,1,Improved BKT (Time),0.6390818551539625,0.6600384862091084,0.4660656771939041
200,1,Logistic Model (PFA),0.635083956762805,0.6510583707504811,0.46736806202584824
200,1,Deep Knowledge Tracing,0.5961342590932239,0.6433611289288005,0.4732809209998317
300,0,Standard BKT,0.5192437007039726,0.6693790149892933,0.4704763625397897
300,0,BKT with Forgetting,0.5246523936574045,0.6745182012847966,0.46915236931925935
300,0,Individualized BKT,0.6654903197494464,0.6685224839400429,0.4578112876787029
300,0,Improved BKT (Time),0.5905937298206447,0.6698072805139186,0.46443425189490156
300,0,Logistic Model (PFA),0.5869604029947624,0.6698072805139186,0.465806650075903
300,0,Deep Knowledge Tracing,0.5532889324943727,0.6698072805139186,0.46845795594982503
300,1,Standard BKT,0.5210845274919512,0.6693017127799736,0.46988996741680705
300,1,BKT with Forgetting,0.5261645238445946,0.6728151075977163,0.4687105486163225
300,1,Individualized BKT,0.6885999060104231,0.6693017127799736,0.4550230444603509
300,1,Improved BKT (Time),0.5946831008143425,0.6745718050065876,0.4641107098670267
300,1,Logistic Model (PFA),0.6023684145922326,0.6719367588932806,0.46400852779425256
300,1,Deep Knowledge Tracing,0.5753288758425745,0.6780851998243302,0.46570987516995416
