model,train_students,test_students,training_time_seconds,training_success,inference_time_seconds,test_accuracy,test_auc,test_rmse,test_log_loss,test_ece,test_f1,train_accuracy,train_auc,train_rmse,accuracy_gap,auc_gap
Standard BKT,240,60,2.4953248500823975,True,0.051232337951660156,0.6621507197290432,0.5424082566419798,0.4719191597568136,0.6376972881079014,,,0.662070451362706,0.5171470239439068,0.47343946342564897,-8.026836633712175e-05,-0.02526123269807301
BKT with Forgetting,240,60,2.53326153755188,True,0.05052614212036133,0.6634208298052497,0.5481600080715098,0.47096952317961704,0.6358050496720328,,,0.6634708607131315,0.5247653227250434,0.4723302549627166,5.0030907881803977e-05,-0.023394685346466382
Individualized BKT,240,60,2.3726494312286377,True,0.05050849914550781,0.6558001693480101,0.5501426527240947,0.47165770391206313,0.63700471239926,,,0.6701497360766994,0.6835141776888564,0.45706024833987896,0.014349566728689256,0.13337152496476168
Improved BKT (Time),240,60,9.862445592880249,True,0.028248310089111328,0.6752751905165114,0.5997171768613518,0.4661795110606521,0.6280353126761455,,,0.6770440590326403,0.6250943406018803,0.46083824258232897,0.0017688685161288964,0.025377163740528452
Logistic Model (PFA),240,60,0.07150554656982422,True,0.008310556411743164,0.6689246401354784,0.6066680439480893,0.46590040618054396,0.6259377536725458,,,0.6715501454271249,0.6192026915162225,0.4637578422257538,0.0026255052916465127,0.012534647568133273
Deep Knowledge Tracing,240,60,18.697909355163574,True,1.1287500858306885,0.661727349703641,0.5722235968344949,0.47105792418974685,0.6355213660617918,,,0.6626090703436389,0.6057451363533743,0.46807789804333616,0.0008817206399979183,0.033521539518879484
