parameter,value,num_trials,auc,accuracy,rmse,log_loss,auc_std,accuracy_std,rmse_std,log_loss_std
p_learn,0.01,3,0.7991358816417228,0.7329396325459318,0.4290979995212861,0.5464705149841863,0.0,0.0,5.551115123125783e-17,0.0
p_learn,0.045,3,0.8024019059211817,0.7489063867016622,0.41474670749557907,0.5179524175724881,0.0,1.1102230246251565e-16,0.0,0.0
p_learn,0.07999999999999999,3,0.8018473057316515,0.7491251093613297,0.4119278464508474,0.512463905719622,0.0,1.1102230246251565e-16,0.0,0.0
p_learn,0.11499999999999998,3,0.8007147204431083,0.7458442694663167,0.4125274401840026,0.5136413601033601,0.0,0.0,5.551115123125783e-17,0.0
p_learn,0.15,3,0.8002596848245213,0.7462817147856518,0.4149205340912196,0.5183482478614497,0.0,0.0,0.0,0.0
p_learn,0.185,3,0.7905836424089929,0.7462817147856518,0.4184564277588032,0.5253874746286722,0.0,0.0,0.0,0.0
p_learn,0.21999999999999997,3,0.7901685347362918,0.7436570428696413,0.42280668770843116,0.5341736245428541,0.0,0.0,0.0,0.0
p_learn,0.25499999999999995,3,0.78981061286844,0.729002624671916,0.427780756841096,0.544378385163979,0.0,0.0,5.551115123125783e-17,0.0
p_learn,0.29,3,0.7895531746291091,0.7250656167979003,0.4332550300864663,0.5558017738664384,0.0,0.0,5.551115123125783e-17,0.0
p_learn,0.32499999999999996,3,0.7891836113652703,0.7187226596675416,0.4391437687881889,0.5683172347032307,1.1102230246251565e-16,0.0,0.0,0.0
p_learn,0.36,3,0.788749305600941,0.710411198600175,0.44537994152242116,0.581841854024364,0.0,0.0,5.551115123125783e-17,0.0
p_learn,0.39499999999999996,3,0.7880659352329914,0.6441382327209099,0.4519027737590242,0.5963150463138338,1.1102230246251565e-16,0.0,0.0,0.0
p_learn,0.42999999999999994,3,0.7875157260963336,0.6342957130358705,0.4586681315215079,0.6116994875423527,0.0,0.0,0.0,0.0
p_learn,0.46499999999999997,3,0.7860251168224299,0.6342957130358705,0.46564552613548477,0.6280043845266838,0.0,0.0,0.0,0.0
p_learn,0.5,3,0.7847163788314488,0.6342957130358705,0.4727960995801366,0.645270002971862,0.0,0.0,0.0,0.0
