parameter,value,num_trials,auc,accuracy,rmse,log_loss,auc_std,accuracy_std,rmse_std,log_loss_std
p_slip,0.0,3,0.7665877638716423,0.7255030621172353,0.43299086959426014,0.7925535711110191,0.0,1.1102230246251565e-16,0.0,0.0
p_slip,0.05,3,0.8007215623161885,0.7462817147856518,0.41601447382749973,0.5267450376740671,0.0,0.0,5.551115123125783e-17,0.0
p_slip,0.1,3,0.8002596848245213,0.7462817147856518,0.4149205340912196,0.5183482478614497,0.0,0.0,0.0,0.0
p_slip,0.15000000000000002,3,0.7973320779687602,0.7465004374453194,0.41638131414549834,0.5228203709638355,0.0,0.0,0.0,0.0
p_slip,0.2,3,0.7922666410692111,0.7425634295713036,0.4204299207285032,0.5337668936179627,0.0,0.0,0.0,0.0
p_slip,0.25,3,0.7874624207568134,0.7416885389326334,0.4270435378391673,0.549280583428599,1.1102230246251565e-16,0.0,0.0,0.0
p_slip,0.30000000000000004,3,0.7852884411149598,0.7314085739282591,0.4362254783853609,0.5687340440878288,0.0,1.1102230246251565e-16,0.0,0.0
p_slip,0.35000000000000003,3,0.7825202396902164,0.7311898512685914,0.447937378956563,0.5920407612314498,0.0,0.0,0.0,0.0
p_slip,0.4,3,0.7787173836677342,0.7316272965879266,0.46209179428243363,0.6193726312100668,0.0,1.1102230246251565e-16,0.0,0.0
