p_init,p_learn,auc,accuracy,rmse,log_loss
0.1,0.05,0.8015704651656754,0.7416885389326334,0.41655153176590104,0.521386566555372
0.1,0.1,0.7916350442781517,0.7408136482939632,0.41361462587505604,0.5156756848323458
0.1,0.15,0.7908314816025097,0.7462817147856518,0.4159791811909653,0.5203711717787876
0.1,0.2,0.7900869428468729,0.7449693788276466,0.4208880378020472,0.5302353086694112
0.1,0.25,0.789369363113522,0.7303149606299213,0.4273881889779897,0.5435466734932732
0.1,0.3,0.7883952641984183,0.7285651793525809,0.43502028089499867,0.5595278626448968
0.1,0.35,0.7866581432586106,0.7141294838145232,0.4435063505186244,0.5777671262183124
0.2,0.05,0.8020324447748512,0.7489063867016623,0.41400271537700073,0.5164983484933547
0.2,0.1,0.8016028364159205,0.7495625546806649,0.4119923356837008,0.5125947058757179
0.2,0.15,0.8002596848245213,0.7462817147856518,0.4149205340912196,0.5183482478614497
0.2,0.2,0.7902780047055747,0.7438757655293088,0.42023428987158673,0.5289621238196227
0.2,0.25,0.7898557488072674,0.7287839020122485,0.4270371667789004,0.5428422521447398
0.2,0.3,0.7894949676491734,0.723753280839895,0.4348983455935623,0.5592704140842303
0.2,0.35,0.7888427431213646,0.7136920384951881,0.44356641894338644,0.5778785162980012
0.3,0.05,0.8012364387948501,0.7491251093613298,0.4134096635593953,0.5153431642230243
0.3,0.1,0.8019741356774066,0.7495625546806649,0.41200828291406505,0.5126384695177789
0.3,0.15,0.8015786345663682,0.7462817147856518,0.4152652976301566,0.5190472860208869
0.3,0.2,0.7999412824325206,0.7438757655293088,0.4207887490187639,0.5301011586215865
0.3,0.25,0.7976210705182668,0.7248468941382327,0.42773079504014716,0.5443018700721506
0.3,0.3,0.7897606774067054,0.7233158355205599,0.43568736830987115,0.5609769594972771
0.3,0.35,0.7895168207960263,0.713254593175853,0.4444243311805003,0.5797889286367423
0.4,0.05,0.8003473016469512,0.7493438320209974,0.4138374009166318,0.5161291830817187
0.4,0.1,0.8021885824455918,0.7495625546806649,0.4129411449053493,0.5144255422420593
0.4,0.15,0.8017082216848572,0.7462817147856518,0.4164506436524053,0.5213690117023537
0.4,0.2,0.8011022563884713,0.7397200349956256,0.4221168125561214,0.5327671226067067
0.4,0.25,0.7993725900267957,0.7248468941382327,0.4291393902592399,0.5472084201928917
0.4,0.3,0.7983061768838637,0.7224409448818898,0.4371422724635316,0.5640637433427412
0.4,0.35,0.7912781435853866,0.7125984251968503,0.44590252908789735,0.5830209005808319
0.5,0.05,0.7994127222076989,0.7430008748906387,0.4150528349046385,0.5184293473090124
0.5,0.1,0.8011376911639762,0.73665791776028,0.41462037131734325,0.5176477156789714
0.5,0.15,0.8018910120253578,0.7331583552055994,0.418353495681301,0.5250865403499004
0.5,0.2,0.8012664613423959,0.7309711286089239,0.42413502411960374,0.5367979024632659
0.5,0.25,0.8006721374419973,0.7160979877515311,0.431213030862628,0.5514533074411035
0.5,0.3,0.7992767016861642,0.713254593175853,0.4392392372226816,0.5684659647419446
0.5,0.35,0.798198136559702,0.7040682414698163,0.4479979122742469,0.5875456966942854
0.6,0.05,0.7990454055290505,0.739063867016623,0.417041433791422,0.5223065703695381
0.6,0.1,0.8004071425070257,0.73665791776028,0.4170608891180815,0.522429908261555
0.6,0.15,0.8010393520031369,0.7333770778652668,0.4210086328971683,0.5303640379303315
0.6,0.2,0.8012480801908372,0.7309711286089239,0.42689373037126693,0.5423889968706366
0.6,0.25,0.8009799196130971,0.7163167104111986,0.43401512433052974,0.557258243389274
0.6,0.3,0.8005847248545847,0.7130358705161854,0.4420502137040886,0.5744266428377008
0.6,0.35,0.7989240899287628,0.6935695538057742,0.45078861784027485,0.5936237243695851
0.7,0.05,0.7964901191098622,0.7392825896762905,0.4199427767238854,0.5282657820864213
0.7,0.1,0.7992620988824259,0.7351268591426072,0.42042506737159446,0.529332477012774
0.7,0.15,0.8004523805633619,0.7333770778652668,0.42458961709026793,0.5377933091728984
0.7,0.2,0.8003376004836285,0.7298775153105862,0.4305739721057763,0.5501561548195018
0.7,0.25,0.80102771060715,0.7145669291338582,0.43773196214982013,0.565258456244537
0.7,0.3,0.8008325640481014,0.7029746281714786,0.4457626149321077,0.5825961720824735
0.7,0.35,0.8002506984837592,0.6922572178477691,0.4544611295384999,0.6019168409239655
