model,train_students,test_students,training_time_seconds,training_success,inference_time_seconds,test_accuracy,test_auc,test_rmse,test_log_loss,test_ece,test_f1,train_accuracy,train_auc,train_rmse,accuracy_gap,auc_gap,error
Standard BKT,400,100,0.9342508316040039,True,0.039644479751586914,0.5814084507042253,0.5246608458198273,0.5012616837655107,0.6971595402097028,,,0.586830985915493,0.5515683273456966,0.49824075305726795,0.005422535211267676,0.026907481525869303,
BKT with Forgetting,400,100,0.9839091300964355,True,0.038823604583740234,0.5814084507042253,0.5246608458198273,0.5012616837655107,0.6971595402097028,,,0.586830985915493,0.5515683273456966,0.49824075305726795,0.005422535211267676,0.026907481525869303,
Individualized BKT,400,100,1.3683617115020752,True,0.0434575080871582,0.5814084507042253,0.5246608458198273,0.5012616837655108,0.6971595402097028,,,0.586830985915493,0.5515683273456966,0.498240753057268,0.005422535211267676,0.026907481525869303,
Improved BKT (Time),400,100,43.96886110305786,True,0.029815673828125,0.5811267605633803,0.5201238954441437,0.493367866505444,0.6796603403175269,,,0.5845774647887324,0.5407863924048392,0.49134489793336283,0.003450704225352097,0.020662496960695442,
Logistic Model (PFA),400,100,0.13901209831237793,True,0.021378517150878906,0.58,0.5245196962525839,0.4923597616350303,0.6775650226215503,,,0.5880281690140845,0.5515683273456966,0.49026239740557487,0.00802816901408454,0.02704863109311273,
Deep Knowledge Tracing (LSTM),400,100,,False,,,,,,,,,,,,,list index out of range
Deep Knowledge Tracing (Bi-LSTM),400,100,,False,,,,,,,,,,,,,list index out of range
Deep Knowledge Tracing (GRU),400,100,,False,,,,,,,,,,,,,list index out of range
